"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|P46940|IQGA1_HUMAN","sp|P46940|IQGA1_HUMAN",0.696,0.214,-0.482,8.63e-06,0.0661,0.000417,4.14e-05,0.148,0.00355,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P47134|BIR1_YEAST","sp|P47134|BIR1_YEAST",-1.05,-0.978,0.0743,0.206,0.238,0.927,0.269,0.391,0.955,FALSE,FALSE,FALSE,FALSE,TRUE,12,NA
"sp|P47712|PA24A_HUMAN","sp|P47712|PA24A_HUMAN",0.875,0.814,-0.061,1.9e-07,4.95e-07,0.554,2.07e-06,1.24e-05,0.671,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P48524|BUL1_YEAST","sp|P48524|BUL1_YEAST",-2.83,-0.587,2.24,0.0648,0.686,0.136,0.098,0.791,0.241,FALSE,FALSE,FALSE,FALSE,TRUE,14,NA
"sp|P48552|NRIP1_HUMAN","sp|P48552|NRIP1_HUMAN",1.16,0.392,-0.766,0.103,0.566,0.269,0.146,0.712,0.397,FALSE,FALSE,FALSE,FALSE,TRUE,9,NA
"sp|P48634|PRC2A_HUMAN","sp|P48634|PRC2A_HUMAN",0.367,0.274,-0.0928,0.007,0.0346,0.446,0.0142,0.0893,0.574,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P48643|TCPE_HUMAN","sp|P48643|TCPE_HUMAN",0.195,-0.536,-0.73,0.805,0.501,0.362,0.84,0.654,0.491,FALSE,FALSE,FALSE,FALSE,TRUE,2,NA
"sp|P48681|NEST_HUMAN","sp|P48681|NEST_HUMAN",0.505,0.162,-0.343,0.00183,0.249,0.0223,0.00441,0.402,0.0643,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P48960|AGRE5_HUMAN","sp|P48960|AGRE5_HUMAN",0.344,-0.373,-0.717,0.187,0.154,0.011,0.248,0.282,0.0396,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49006|MRP_HUMAN","sp|P49006|MRP_HUMAN",0.63,0.306,-0.325,1.35e-07,0.000537,0.000306,1.6e-06,0.00355,0.00283,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49023|PAXI_HUMAN","sp|P49023|PAXI_HUMAN",0.52,0.223,-0.297,2.16e-05,0.0219,0.00385,8.77e-05,0.0641,0.0183,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49321|NASP_HUMAN","sp|P49321|NASP_HUMAN",0.676,0.373,-0.303,2.6e-07,0.000255,0.00159,2.64e-06,0.00188,0.00956,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49327|FAS_HUMAN","sp|P49327|FAS_HUMAN",0.651,0.294,-0.357,1.04e-05,0.0117,0.00322,4.78e-05,0.0395,0.016,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49368|TCPG_HUMAN","sp|P49368|TCPG_HUMAN",0.874,0.643,-0.231,0.00325,0.0217,0.375,0.0072,0.0637,0.505,FALSE,FALSE,FALSE,FALSE,TRUE,7,NA
"sp|P49454|CENPF_HUMAN","sp|P49454|CENPF_HUMAN",0.601,0.253,-0.348,6.81e-07,0.00441,0.000324,5.43e-06,0.0186,0.00292,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49585|PCY1A_HUMAN","sp|P49585|PCY1A_HUMAN",0.244,0.0139,-0.231,0.0344,0.897,0.0444,0.0569,0.935,0.107,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P49643|PRI2_HUMAN","sp|P49643|PRI2_HUMAN",1.05,0.744,-0.302,0.384,0.533,0.799,0.457,0.683,0.868,FALSE,FALSE,FALSE,FALSE,TRUE,13,NA
"sp|P49756|RBM25_HUMAN","sp|P49756|RBM25_HUMAN",0.386,0.267,-0.119,0.00187,0.0206,0.268,0.00448,0.0611,0.395,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
