"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12"
"sp|P13693|TCTP_HUMAN",357250000,445400000,369190000,407500000,479445000,313800000,NA,339200000,NA,392800000,397900000,NA
"sp|P13716|HEM2_HUMAN",54150000,45150000,53040000,4.8e+07,41345000,52650000,63850000,53777403.4091789,47750000,49600000,45400000,53950000
"sp|P13797|PLST_HUMAN",44751666.6666667,32603846.6528295,42509096.7102571,39806666.6666667,29655229.2946449,41016722.6732463,37747253.5602554,50677861.9248703,41231666.6666667,49006025.1793927,40038333.3333333,29249408.3172854
"sp|P13798|ACPH_HUMAN",128044068.218615,148267715.498686,113365000,129975000,129253065.301672,129745073.849023,145400000,106983340.385702,122025000,113388397.847226,122325000,120525000
"sp|P13804|ETFA_HUMAN",346128888.888889,438268957.24086,287879161.501415,299203231.802561,456113443.017202,331249462.603913,231615556.828095,233199944.962585,304963248.0044,291465344.563061,384393333.333333,436187972.113192
"sp|P13861|KAP2_HUMAN",87675000,97317082.9986655,83844780.6429022,87300000,98709590.2347222,82725000,83316663.6473332,85842608.4914265,81275000,86716771.4686203,93225000,97675000
"sp|P13984|T2FB_HUMAN",74950000,2.2e+07,61790000,7.6e+07,12545000,100800000,51200000,NA,NA,NA,2.1e+07,NA
"sp|P13987|CD59_HUMAN",72050000,68100000,82240000,64600000,74895000,83050000,34783504.2420919,73510000,93200000,91950000,67300000,61250000
"sp|P13995|MTDC_HUMAN",32295000,32450000,34222212.4664241,28385000,28345000,24670000,27855000,37085000,32350000,38320000,30825000,30735000
"sp|P14174|MIF_HUMAN",282300000,340050000,223090000,351700000,401345000,300300000,254950000,223350000,263700000,207200000,365450000,394300000
"sp|P14314|GLU2B_HUMAN",563189782.148804,776172837.206923,709090000,565685714.285714,819784095.297118,668586455.07595,418680860.240343,509733256.597242,623508692.37028,546911400.963219,679285714.285714,626998540.523358
"sp|P14324|FPPS_HUMAN",1040550000,1250700000,992790000,985550000,1280845000,1.174e+09,961650000,808600000,1001500000,834450000,1207500000,993950000
"sp|P14373|TRI27_HUMAN",10450000,-2300000,18790000,14400000,-5355000,10400000,11900000,29640000,15600000,23400000,8600000,7350000
"sp|P14543|NID1_HUMAN",31730000,20912894.1072218,35203191.0223575,38230731.7243373,12567889.1060285,33022040.0192295,38813481.5990789,43246551.7648848,36499758.2243128,39031201.2118273,31964910.9150398,27019782.9995699
"sp|P14550|AK1A1_HUMAN",359316666.666667,406081392.943286,336834273.885415,362694118.291162,433597869.713515,370530830.779306,418773178.950535,289540856.134064,327477582.934551,304495492.866328,368520663.856232,375445502.934329
"sp|P14555|PA2GA_HUMAN",41750000,31700000,115890000,152500000,40145000,63700000,111300000,49300000,47100000,NA,140900000,92850000
"sp|P14618|KPYM_HUMAN",1243372222.22222,1388228259.10385,1070127441.9381,1155406018.30877,1568268536.24152,1253852670.68409,1428351335.11915,834578685.845787,1107387777.33363,1120535339.01124,1254230875.83246,1282288192.62253
"sp|P14625|ENPL_HUMAN",1107928839.04615,1259205927.37841,1058180721.58536,1041343453.61626,1405232950.40445,1152570148.03001,1064579136.28969,945519529.819156,1063570875.11366,1034637611.16579,1172605526.81584,1223021452.31317
"sp|P14735|IDE_HUMAN",42500000,37989923.5167319,37065737.1033714,46307083.8329327,38252153.4060268,41266666.6666667,36491357.6542308,42616426.3246934,39720000,40216435.6983265,38917534.7178358,32894806.3160488
"sp|P14866|HNRPL_HUMAN",475030000,505103349.26976,402234113.503418,452760000,512875946.908494,452293846.484553,548607589.112696,402820719.046238,415289320.799921,387176863.071806,438860000,458898889.815759
"sp|P14868|SYDC_HUMAN",242060956.533186,248870618.295108,215800939.605324,224735011.324357,247831343.851058,238622594.791254,262027729.95823,177373356.475373,204584423.638689,205230272.709964,222759600.904038,216711816.345304
"sp|P14923|PLAK_HUMAN",80804545.4545455,79796821.4772829,72412723.9850287,75427272.7272727,79090805.7370787,81100434.0511687,75568078.3771465,64462707.9943638,67706323.4840542,70129587.3544844,72336363.6363636,71140909.0909091
"sp|P14927|QCR7_HUMAN",29150000,33100000,52890000,31900000,43845000,33500000,NA,53750000,46362601.4801744,47800000,44650000,51150000
"sp|P15104|GLNA_HUMAN",61735000,64225000,62385000,67085000,58445000,71280000,72885000,65455000,66922727.2727273,64725000,72530000,63935000
"sp|P15121|ALDR_HUMAN",365200000,374900000,295765000,380750000,376145000,369271071.94103,369326858.337597,230728204.837867,272025000,257650000,332807444.069782,296311826.066096
"sp|P15144|AMPN_HUMAN",98792857.1428571,108027632.248869,109545526.918594,86733026.3456105,113262828.845835,112175134.84509,64718618.0263133,92926401.2749293,103971428.571429,105030050.026694,105872857.142857,118729958.193762
"sp|P15170|ERF3A_HUMAN",210790000,210036979.110924,164935000,200767907.270358,211168435.618293,205913417.012062,164197843.245417,155261411.356111,161317116.343596,167607032.920771,195603873.834578,161225000
"sp|P15289|ARSA_HUMAN",42440000,33766093.6655175,42403333.3333334,38013333.3333333,33793702.939699,42203611.6255076,35353447.0311387,43678447.0311387,38723447.0311388,43186666.6666667,44013447.0311387,39818447.0311388
"sp|P15291|B4GT1_HUMAN",NA,28100000,27690000,29100000,21845000,32700000,14500000,36200000,37300000,33700000,32800000,24050000
"sp|P15311|EZRI_HUMAN",177755750.00652,171812282.549858,155193890.858592,158356266.590511,170103774.728635,162203815.907817,194499130.615861,165287926.911445,175049598.21396,181642921.679882,158813380.382498,138753901.413614
"sp|P15374|UCHL3_HUMAN",166350000,182500000,170390000,165800000,208445000,186900000,177300000,152900000,167300000,170600000,176900000,160850000
"sp|P15529|MCP_HUMAN",187950000,255900000,177890000,NA,270145000,260800000,96300000,1.16e+08,176400000,149400000,203900000,156850000
"sp|P15531|NDKA_HUMAN",831850000,855400000,712539999.999999,760300000,1361695000,765500000,914150000,591908336.657004,1256300000,777050000,1198400000,883200000
"sp|P15559|NQO1_HUMAN",544550000,5.08e+08,457940000,538500000,528645000,553750000,425650000,2.8e+08,302900000,270450000,338700000,459300000
"sp|P15586|GNS_HUMAN",26112606.6705487,22562727.9965128,29570000,29266666.6666667,17835507.6381165,26880585.0661689,16226681.011873,34566457.324776,27426666.6666667,30706666.6666667,26832460.2540152,16804746.1809418
"sp|P15848|ARSB_HUMAN",79050000,106900000,85390000,83900000,NA,96100000,70700000,67600000,76500000,70300000,90800000,85250000
"sp|P15880|RS2_HUMAN",896862500,1009654806.09995,784145412.011821,809451433.63765,1093445657.61313,900498035.922676,895347048.027103,627919471.096253,775952807.013365,733067338.332128,835167092.727651,778424919.812026
"sp|P15907|SIAT1_HUMAN",29480000,23200000,40790000,NA,23745000,39700000,18510000,42860000,37600000,46150000,34500000,37550000
"sp|P15924|DESP_HUMAN",73415000,70102776.3583063,74296734.9281085,75007617.3345492,71326656.3910005,74600380.3171256,74326366.2770883,72368426.2394858,65628417.6470283,69714377.5918139,67823785.6559427,68444985.4520799
"sp|P15927|RFA2_HUMAN",2750000,-10080000,12660000,6330000,-14085000,NA,2e+05,23710000,9770000,17730000,2940000,250000
"sp|P16152|CBR1_HUMAN",154170000,174364404.616536,135230000,154782419.69296,171809606.631452,167282419.69296,162735927.856067,109575456.428756,124480000,112325366.570217,131540000,145670000
"sp|P16219|ACADS_HUMAN",51118000,56480125.5870799,58716000,50356274.91158,50507474.1880194,54013774.91158,38786274.0668571,53013499.1917865,46366774.1987932,50707697.78571,59658000,60597921.2130968
"sp|P16220|CREB1_HUMAN",15650000,3400000,28290000,17300000,3445000,17800000,5900000,3.7e+07,24900000,32600000,19300000,17350000
"sp|P16278|BGAL_HUMAN",168830000,194290389.011754,141580942.619148,162451566.317191,206785542.693978,159326503.468326,180378717.076688,110261471.045013,143920000,115755033.470323,153680000,196290000
"sp|P16401|H15_HUMAN",27150000,17300000,45390000,35100000,26845000,30500000,15700000,40700000,30500000,34500000,22200000,22250000
"sp|P16435|NCPR_HUMAN",80785000,110104876.723363,80690000,83527500,116729100.242031,116228454.5824,35606686.7764712,51445575.2540104,91015000,62293763.8055968,82778908.5873437,72095575.2540104
"sp|P16870|CBPE_HUMAN",15850000,5200000,24290000,19800000,1545000,17500000,1.1e+07,29900000,21800000,27200000,20700000,13550000
"sp|P16930|FAAA_HUMAN",208950000,240600000,192390000,225300000,246545000,214300000,203300000,138100000,165400000,154700000,194300000,208950000
"sp|P17050|NAGAB_HUMAN",38950000,30400000,43790000,36200000,30145000,30900000,4.7e+07,50100000,38800000,46800000,33900000,53750000
