"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|P16422|EPCAM_HUMAN",79182093.2753926,67391486.4802974,49982891.7542618,61972805.8359186,70034002.722812,78216655.1809128,45180825.5685502,59280613.6424893,76542247.9370253,79638906.1993384,35633372.6332743,33915967.8238885
"sp|P16435|NCPR_HUMAN",137586001.640299,161367089.952181,161425162.899059,131946226.040068,171137153.269024,171735804.663169,60524062.9790998,83075176.5651431,146474131.737321,138479699.83257,121238830.213333,108225681.677265
"sp|P16455|MGMT_HUMAN",11185593.7937091,10739343.2338189,4524856.68794548,19243002.4486525,17510705.6510277,16019321.3171242,14013945.1660012,23989334.4558028,11167967.328881,14511495.19247,18649360.6156512,14410343.20189
"sp|P16591|FER_HUMAN",29317140.1136094,27736971.3109926,NA,22657070.3729464,18312461.584995,26552155.0796415,31925523.3106499,18933688.2031462,25718867.0174516,22910404.7854866,23765840.7672508,25484685.9335618
"sp|P16615|AT2A2_HUMAN",13870149.146273,21012693.9551106,20242506.7173033,31918573.5787387,36165222.7826555,40373945.8946562,8742692.21958082,13248440.1452398,22742931.3955522,12918367.9991543,28186941.6034437,26906280.7869505
"sp|P16870|CBPE_HUMAN",19440019.6028501,20538912.1463567,15104681.3775144,18255841.4918625,16041390.1992408,16536794.6144624,18141136.6818157,17874323.3065287,15496001.5490622,16128908.9798616,18856136.6741388,18532950.6999411
"sp|P16930|FAAA_HUMAN",184847971.433341,192285818.028984,167070167.593696,205783199.880193,194393188.816174,167728376.384209,191981402.5854,140579766.014761,161922347.228678,149563257.031634,161569349.571717,166923686.351735
"sp|P16949|STMN1_HUMAN",41166989.4696008,51298268.6075493,62846257.12581,45261029.4266566,62004374.8102215,37963293.4306963,33713405.7935335,83569755.7580133,60249931.4131273,101438843.352792,53491873.3336322,43991780.5355253
"sp|P16989|YBOX3_HUMAN",49954831.9762104,54053128.5489474,128049483.48752,46387457.6079992,90908192.8709703,91516926.8945329,25805837.2611175,115966686.564379,92970249.3232638,85878315.7518166,96526657.5866951,60805132.5881644
"sp|P17050|NAGAB_HUMAN",36482444.6236811,33123504.6180576,20999466.6896823,33420464.4402442,34689674.8548272,35650998.6658242,42128195.3248337,21439906.5298214,26890425.1262236,26584296.3724597,37807171.5216954,39087034.3664404
"sp|P17096|HMGA1_HUMAN",287170120.388467,206925506.631933,324181255.441713,258811350.066711,164163197.526642,294873447.885142,71952592.2543256,310594343.014394,267066944.088229,200215377.57356,270960197.723975,234979686.998029
"sp|P17152|TMM11_HUMAN",279292437.681686,21317987.3488518,NA,244258704.111456,103383357.749655,NA,118520843.028149,NA,20811334.7041886,20894019.1679535,NA,16789123.924817
