"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|Q9BZE9|ASPC1_HUMAN",24742302,22338400,18528085,9743730,7982075,NA,5976585.5,13002200,17329180,17964065,19004440,17743470,10603125,8471450,5454460,4550030,6120540,10017300
"sp|Q9BZF1|OSBL8_HUMAN",71274019.8321919,68625543.0658276,72104643,72719997.3333333,72014905.6666667,66475019.4947014,63184213.2202384,66851618.0612714,64976143.3333333,67416574.3333333,69937416.8136443,74700976.1007301,49891870.7216551,47406003.2216551,58410615.7216551,57419151.7216552,57240405.7216551,50585601.6804851
"sp|Q9BZI7|REN3B_HUMAN",125895115,174817165,171908180,175781580,160644275,172977980,169314995.5,166072375,163495595,172276065,177185720,178797555,154641995,155381735,150946365,161429340,160728905,167498862.75
"sp|Q9BZL4|PP12C_HUMAN",27325020,54275470,33483160,38716230,36981890,30639105,34681965.5,38459160,25140740,30053445,31600070,23895273,NA,NA,NA,-3918291,NA,NA
"sp|Q9C040|TRIM2_HUMAN",63477103.5,59701938.5,56780830.5,56276529.5,56994595,57983530,48508043.5,49498030,54841936.4999999,56709935,49735165,54936960.3680798,46396800,40422900.3680798,40440523.5,40133090,33670880.3680798,49806310.3680798
"sp|Q9C086|IN80B_HUMAN",23400143,17854397.5,15732255.5,14083968.5,12436480.5,12055735,12530074.2952776,10729036.2047224,1439545.20472238,11388181.2047224,9628916.20472239,9363946.20472238,NA,-8583.79527761694,-1583953.79527762,-483083.795277617,-719193.795277617,2540457.20472238
"sp|Q9C0A6|SETD5_HUMAN",37588849.1925036,39960176.0634699,34560693.3333333,36868103.3333333,38608012.9299373,34887371.6666667,25963695.5,30322810.6918039,33548404.5168015,25437493.3525561,27257250,32575527.572821,15023685,13650840,25571480.9913468,23356625.9913468,13820735.9913468,12829330.9913468
"sp|Q9C0B5|ZDHC5_HUMAN",107957050.209428,154983660,168230725.333333,164660805.333333,173277618.666667,173130567,158594025.5,160872364.676336,151881266.666667,159118892,165498207.333333,145005910.125552,143717095,128119235.815644,146524323.333333,145911540,128800712.438922,141662543.892971
"sp|Q9C0C2|TB182_HUMAN",76204642.7060124,89349879.3506437,88962854.8896367,96514827.3650941,98835643.992525,99755331.3687319,89819294.8188667,93347801.8225648,93236162.7282243,94667142.1603789,94107061.910816,95490728.0031808,66854438.9517925,70968223.6293114,69421417.7708877,70325511.9991811,72347581.104221,75843290.1294455
"sp|Q9C0C9|UBE2O_HUMAN",90631917,97439165,82458693,105652894,106110301.5,101968326.5,106300091.5,114699374,108231505.5,118002498,133946058,105918790,80789680,58650990,141699685,147105945,78301985,59936600
"sp|Q9C0D2|CE295_HUMAN",43479330,41981700,38649910,35768210,32898910,35248765,33602625.5,31078120,35720170,39244915,42540400,44390610,27340105,24836480,27145210,24842200,21556270,20994240
"sp|Q9C0D5|TANC1_HUMAN",33822249.883824,28124368.0424542,25699781.6,23312606.8,22853672,22099531.5320811,19961353.8238142,20248458.5694001,19383738.5623606,21809237.7189286,18742306.3660081,20209337.3813466,8818631.1783613,8338977.7817836,6613316.83724556,6889704.44448847,5953182.74005808,3625987.42328448
"sp|Q9C0H5|RHG39_HUMAN",54805015,50125730,54812580,34292975,49570735,51301740,28592110.5,27302515,28337285,36778050,48069725,41494815,23568560,23243790,24007760,23480310,22942630,22735775
"sp|Q9GZP8|IMUP_HUMAN",123844757.87037,162616692.87037,225989032.870371,238590122.87037,237255003.87037,239833817.87037,199940763.37037,228169516.333333,214290209.666667,213798232.87037,227634127.87037,213929710.666667,192081021.333333,192137715,195667182.333333,197920356.666667,199013110.666667,212574870.666667
"sp|Q9GZR1|SENP6_HUMAN",27158659.2254998,38079118.5619301,38616173.136187,36550136.9928288,36722412.3476541,36842946,35452847,35541761.4576462,34090839.1217481,34337688.8561457,32229992.5,34513408.4910506,21928422.0011588,22334877.5115387,19827370.752747,17780158.1182153,20332517.2819253,16851165
"sp|Q9GZR2|REXO4_HUMAN",44720755.2993855,39816625.4460653,37514033.4973429,36541240.6835277,34780176.07078,34546550.1616075,32573699.9273433,33152194.1097007,33177794.8865302,35505721.523383,34039552.0096071,32685463.4,22143043.2432897,22182652.4274546,21008139.6232392,20557117.5628867,20807366.4311407,17956061.8177379
"sp|Q9GZR7|DDX24_HUMAN",424294412.009078,434743217.009078,383740590,409406105,403691320,415279060,476147220.5,470130800,464336915,475125589,495887800,501922335,475172245,483093970,476817330,469843075,501771774,487452320
"sp|Q9H063|MAF1_HUMAN",249470347.5,301297641.5,275187135,284739700,286052835,297312175,263205440.5,298514920,306759223,288477620,301645600,301239850,302616725,312143550,319418350,322293870,293185310,350829860
"sp|Q9H0A0|NAT10_HUMAN",22357121,36176405,41829754.0573028,39425418.5,32700000,30669680,32360525.5,29660560,36483305,36646890,36240895,36004660,22190719.0573028,26967154.0573028,27185704.0573028,18900344.0573028,18672854.0573028,22987154.0573028
"sp|Q9H0B6|KLC2_HUMAN",566346415,590781555,597325610.3125,597985865,625494720,632007510,558886925.5,596080335,565113615,583384385,617581660,622057425,571191475,556547550,578009030.3125,563068565,580564425,607735040
"sp|Q9H0C8|ILKAP_HUMAN",390391040,542437170,615187550,660598570,643748780,657239675,652990455.5,663559650,692438840,673947695,659728330,676919060,627411445,605556320,602962890,594341310,623090060,600620930
"sp|Q9H0E9|BRD8_HUMAN",53467770.2781216,51534172.652989,49484007.1495681,52863211.2916815,52894555.4242645,52470261.0804604,56993306.0386473,50894466.3302371,59447389.9191566,53413561,54913704.8,59415120.7953536,38399461.3604509,34276562.1758929,36548014.5218046,25597446.5633524,27668312.4154549,38125570.4221853
"sp|Q9H0G5|NSRP1_HUMAN",365779810.620689,312620414.443083,421852551.090586,424307455.404296,438789950.111002,435596800.237305,468975096.46652,508288183.333333,508495540,507908661.666667,497528563.333333,499774160,499581278.333333,497183050,496344359.666667,498812243.333333,511829647.410314,533822940.304761
"sp|Q9H0H5|RGAP1_HUMAN",59339802.2837998,54183778.9812633,52247870.8918447,49121309.25,49287816.0605547,53555170,47958055.5,54823375.5,56977117.1473754,40482738.0552226,43319677,43728319.9579189,30290878.6551616,34489094.8424433,33714485.8608698,25622949.7533525,27008652.4849459,37305667.5182013
