"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|Q8N5F7|NKAP_HUMAN",14508389.3580098,7533332.06658259,9876947.97262114,NA,NA,24949224.56877,NA,18514424.7208803,NA,23455562.5932213,9885824.05849829,7046558.41980767
"sp|Q8N5M4|TTC9C_HUMAN",24696883.0001395,NA,NA,NA,9547464.74931099,25898141.3207404,NA,26919413.9986665,NA,16250447.3826052,21004623.6399649,17061322.6312805
"sp|Q8N5P1|ZC3H8_HUMAN",25540663.7891912,NA,4179310.45637771,NA,10263156.1483589,2385020.69770502,NA,2404270.37638322,4280592.28668332,4553247.63440911,3355311.70714345,4383449.79666658
"sp|Q8N5V2|NGEF_HUMAN",6938213.05642472,5603641.84839395,6923209.93398024,8894870.09191892,6788610.7153175,28330799.7813523,5525132.22622056,6046041.12167675,5578628.98736109,6581460.74806157,8507004.61197466,5953644.57857242
"sp|Q8N668|COMD1_HUMAN",84498310.8875751,168706229.285626,12773925.9575049,NA,55097362.2978925,NA,6079588.20193292,6429695.82346639,84251068.3227478,54390478.8701232,63939835.2754457,3962942.20663402
"sp|Q8N684|CPSF7_HUMAN",924839088.786565,834127324.34756,886210702.994354,881300982.671704,872936948.456299,749176585.154216,1024538190.71576,965143375.197068,888800658.204261,1004733883.11433,117097297.018736,997839111.620428
"sp|Q8N6C5|IGSF1_HUMAN",41899564.9448326,88956446.1151195,66685435.7905336,41545835.6396846,96491163.8986505,102016939.136839,20840983.0574148,20628294.7454831,74293154.7446585,73240631.0656085,84877645.4713655,88128925.400744
"sp|Q8N6H7|ARFG2_HUMAN",50864333.8515861,42384166.3265005,45102652.4005262,47235148.8972444,34529769.5087745,44529228.663913,43943397.6260737,51310351.5895886,35250504.5584163,42161719.045565,45376438.4105513,30919164.9813447
"sp|Q8N6R0|EFNMT_HUMAN",16320405.1574654,NA,NA,NA,79836049.2729305,99438412.5786266,NA,NA,18028134.1302335,NA,127746489.145159,NA
"sp|Q8N6T3|ARFG1_HUMAN",123936846.838116,106776223.243077,98246227.3646598,91243270.7374979,83756973.9618477,99151905.6185938,114367229.769349,119240336.117249,80575346.0573674,85218230.5232752,106258090.756563,70332453.7224278
"sp|Q8N766|EMC1_HUMAN",35314917.548891,40275153.445351,30134076.2349087,34473125.9940853,44861292.6705207,39198662.455679,12948669.0766863,30570550.5322338,32024129.4706207,33244955.6433921,37751291.9004722,33865615.2668648
"sp|Q8N7H5|PAF1_HUMAN",46684470.3381847,37321175.1686474,44887822.3864635,40908873.671118,49967285.721747,43254608.6708715,50875883.2791267,51548867.0307798,40880485.0774252,39469245.3460912,41048116.865244,51738498.2226273
"sp|Q8N806|UBR7_HUMAN",8574027.02576075,6042428.48948873,7179287.46138851,12628876.5472465,6955599.12550996,6838830.55583536,7926280.96164508,7456249.52045433,13073973.7431724,3607713.10665641,12090330.7364038,1556947.57806801
"sp|Q8N8A6|DDX51_HUMAN",NA,NA,4161292.3033378,3457456.75662605,2593386.22844058,3163415.24882866,3740800.72547134,3963913.18541621,NA,4663375.86303319,3187076.8856726,4655096.72414471
"sp|Q8N8N7|PTGR2_HUMAN",1342273.81504585,NA,2036969.29002034,5690378.13126567,6705901.73420055,2708272.2396431,8076170.52479124,10730567.7884097,3923175.85145312,NA,3129112.31226476,8472392.66914232
"sp|Q8N8S7|ENAH_HUMAN",23690628.0324521,28881554.5009981,31515590.3675034,17034008.8807969,23713421.661176,14199165.5043938,5842764.28445306,48465096.2710067,38961144.793789,35808472.8602265,40770252.6539022,23839454.9414352
"sp|Q8N983|RM43_HUMAN",57383177.90504,69476878.8344033,57518000.6356764,48224720.7194838,72826752.0228141,45792145.5116181,NA,30369112.3644118,31665670.4821771,40810895.5930997,60441320.0823228,116886275.704976
"sp|Q8N9N2|ASCC1_HUMAN",16438144.2566036,22292549.4561787,15379893.2111685,133361622.287184,108035618.860452,125832544.964621,41838712.0075687,15106440.8983307,98835921.6269919,87915577.0134995,112015218.369174,133117986.156586
"sp|Q8N9N8|EIF1A_HUMAN",33722079.9825178,17607229.6303744,NA,30630817.0823574,19921049.5377285,37731138.2316528,10146969.7247262,43938029.4177494,26384266.8373562,42115505.2758512,33259834.3974825,29507937.4906465
"sp|Q8N9T8|KRI1_HUMAN",23938220.7604283,24016652.1416498,32877806.8011534,17383490.3394564,37289980.047865,41038582.0193388,26675387.1818049,22715343.6427863,18129601.2914328,36647979.042594,38736145.2053238,29328614.674607
"sp|Q8NAV1|PR38A_HUMAN",55036106.701284,45035539.444318,51802277.5524955,67746077.3004183,58519512.3062006,65465239.4995879,66311534.1109034,45193527.3960995,45238102.3836716,37631910.2501362,53242196.3061921,50683352.1053343
"sp|Q8NB37|GALD1_HUMAN",17157856.3971111,17830895.8376475,28353924.895328,23675276.1318485,16843678.5472625,14517692.1759399,18598626.8142641,12748470.1218625,17227210.5284009,9966531.28485038,19921164.0879881,19304437.7995052
"sp|Q8NBF2|NHLC2_HUMAN",29701281.5042626,30213143.8734148,18413730.6351465,19397450.6937606,20671601.4818865,35330374.4502909,21905361.0914243,19566945.9851811,19101478.472152,19725421.4883128,20879064.4373771,18563990.1088295
