"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|P08319|ADH4_HUMAN",160555419,182040242,129906206.666667,146018650,191896144.333333,143796583.333333,177834542.333333,104194256,116251357,114198270,142010116.666667,225605869
"sp|P08397|HEM3_HUMAN",46959104,59954480,41655200.3333333,55120454.6666667,45300938.3333333,66019900,47162783.3333333,31211653.3333333,40800673.3333333,23633360.3333333,36936670,44240217
"sp|P08559|ODPA_HUMAN",264985466.666667,326166176.666667,213459526.666667,243965990,339344073.333333,285198173.333333,283991453.333333,176220413.333333,226138990,214690660,276034726.666667,264422940
"sp|P08574|CY1_HUMAN",68827053.3333333,109255290,31363966.6666667,58261993.3333333,124170893.333333,92589636.6666667,44701060,29112523.3333333,76186173.3333333,46419516.6666667,85868693.3333333,103630640
"sp|P08579|RU2B_HUMAN",89432053.3333333,126495310,73840560,102531253.333333,127036390,112509276.666667,91315406.6666667,65898529.3333333,74559336.6666667,80206362.3333333,108169440,119644910
"sp|P08621|RU17_HUMAN",362402779.333333,431334262,312931833.333333,364163196,456888723.333333,380772051.666667,337231398.666667,290361500.666667,332975245.666667,271713239,373042966.666667,369428237.666667
"sp|P08697|A2AP_HUMAN",23659100,24067576.6666667,10519670.6666667,19904170,15309614,9759153.5,24619070.6666667,15027656.6666667,14838642,12789581.6666667,26140630,24351490
"sp|P08708|RS17_HUMAN",600852658.666667,755223047.333333,490359735.666667,429320475.333333,885494157,616974032.666667,475250880,471001577,560117300,511526830.666667,813297745,554039039
"sp|P08727|K1C19_HUMAN",2192243073.33333,2989692033.33333,2664266660,2033551893.33333,3662002000,2657967340,1777204196.66667,2409186472.66667,2892152753.33333,2799942173.33333,3565866683.33333,2792823590
"sp|P08754|GNAI3_HUMAN",36246051.3333333,41151163.3333333,31734944.6666667,29530159.3333333,45161553.3333333,37507493.3333333,16206178,23722301.6666667,22629050,43731538,19069738,14494451
"sp|P08758|ANXA5_HUMAN",2139348733.33333,2317220333.33333,1886701566.66667,2022020833.33333,2355634200,2268632966.66667,2708477600,1609553590,1808882706.66667,1679072573.33333,2121993733.33333,2012592220
"sp|P08779|K1C16_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,32830086.6666667,NA,NA,NA
"sp|P08833|IBP1_HUMAN",33362825,28472580,25918900.3333333,20845143.3333333,29747756.6666667,29217256.6666667,14683710,11539100,NA,6272920,19543590,20587125
"sp|P08865|RSSA_HUMAN",1922648080,2219794833.33333,1648877086.66667,1959557963.33333,2145648071,2140460060,2404289490,1188790276.66667,1560682293.33333,1384152066.66667,1928436326.66667,1681922686.66667
"sp|P09001|RM03_HUMAN",33732150,236482276.666667,160338903.333333,52047853.3333333,72425490,63548673.3333333,34598050,34579390,45266116.6666667,44863216.6666667,63576870,49683580
