"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"796","sp|P14127|RS17B_YEAST;sp|P02407|RS17A_YEAST",NA,21.4204617624281,NA,NA,NA,NA,NA,21.4204617624281,NA,4,0
"797","sp|P14164|ABF1_YEAST",3.19164273933061,25.085494810022,13.1470940073949,4.65599488212267e-08,1.13152928253692e-06,9.09279366769563,TRUE,26.5362415097177,23.3445987703871,6,5
"798","sp|P14209|CD99_HUMAN",NA,21.7950382468328,NA,NA,NA,NA,NA,21.7950382468328,NA,1,0
"799","sp|P14314|GLU2B_HUMAN",-0.442629469616143,21.6048066863622,-1.30897072000605,0.217297228636581,0.349301985458455,-6.63965871810415,FALSE,21.363372430208,21.8060018998241,5,6
"800","sp|P14384|CBPM_HUMAN",NA,21.2567993260395,NA,NA,NA,NA,NA,NA,21.2567993260395,0,4
"801","sp|P14540|ALF_YEAST",2.28189417586408,26.061815204569,9.68385707731438,5.16134656930011e-07,8.28957140304114e-06,6.44078409249842,TRUE,27.202762292501,24.9208681166369,6,6
"802","sp|P14618|KPYM_HUMAN",-1.05542625830213,24.9401250646245,-3.79048901138024,0.00258451084775832,0.0114749796533885,-2.45974591573805,TRUE,24.4124119354734,25.4678381937756,6,6
"803","sp|P14625|ENPL_HUMAN",-0.480928740532477,28.2893715821622,-1.94536810571741,0.075592467621015,0.161783647388198,-5.77696833122824,FALSE,28.048907211896,28.5298359524285,6,6
"804","sp|P14635|CCNB1_HUMAN",NA,24.6782580585124,NA,NA,NA,NA,NA,NA,24.6782580585124,0,6
"805","sp|P14682|UBC3_YEAST",2.44237843896716,21.6141785078829,6.79105774347785,0.00672918523615983,0.0245871515948313,-1.57624635564018,TRUE,22.4283046542052,19.9859262152381,2,1
"806","sp|P14736|RAD4_YEAST",NA,22.3390692570313,NA,NA,NA,NA,NA,22.3390692570313,NA,6,0
"807","sp|P14737|RAD9_YEAST",1.73074568890097,23.6891827766623,6.89168753097591,0.000127720513961995,0.000968787635678868,1.35262728953253,TRUE,24.1218691988875,22.3911235099866,6,2
"808","sp|P14742|GFA1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"809","sp|P14747|PP2B2_YEAST",NA,21.2417413878176,NA,NA,NA,NA,NA,21.2417413878176,NA,2,0
"810","sp|P14772|BPT1_YEAST",NA,22.8480453833691,NA,NA,NA,NA,NA,22.8480453833691,NA,5,0
"811","sp|P14832|CYPH_YEAST",2.09791447015653,22.7041459443864,1.12228843087458,0.312999111049007,0.451647936021497,-6.22916543204995,FALSE,23.1237288384177,21.0258143682612,4,1
"812","sp|P14843|AROF_YEAST",NA,21.6912636196061,NA,NA,NA,NA,NA,21.6912636196061,NA,1,0
"813","sp|P14859|PO2F1_HUMAN",-0.301274336733578,24.9886774742876,-1.70520773224621,0.116270620000118,0.221622120887739,-6.10298607107629,FALSE,24.8517345939542,25.1530089306877,6,5
"814","sp|P14866|HNRPL_HUMAN",-0.803051183241762,26.116595104581,-2.05861510744607,0.0619772598917162,0.140026910116208,-5.59361312089818,FALSE,25.7150695129601,26.5181206962019,6,6
"815","sp|P14868|SYDC_HUMAN",-0.70207211041155,23.5049602140819,-1.76315372221643,0.108435405561733,0.211377513533004,-5.95886834767412,FALSE,23.2241313699172,23.9262034803288,6,4
"816","sp|P14907|NSP1_YEAST",NA,21.919449799898,NA,NA,NA,NA,NA,21.919449799898,NA,2,0
"817","sp|P14922|CYC8_YEAST",2.17961252519369,26.9623435870741,19.9058571130058,1.53039636259651e-10,2.2613136653726e-08,14.7822905674097,TRUE,28.0521498496709,25.8725373244772,6,6
"818","sp|P14923|PLAK_HUMAN",-0.52098920819304,25.1868335185733,-2.79646763251198,0.0161817272475081,0.0493195548286262,-4.30381253583177,TRUE,24.9263389144768,25.4473281226698,6,6
"819","sp|P15019|TAL1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"820","sp|P15056|BRAF_HUMAN",-0.522046380202059,23.3205189207305,-3.76716258780232,0.00312972319859075,0.0133501125815176,-2.55980116496071,TRUE,23.0832251115477,23.6052714917498,6,5
"821","sp|P15108|HSC82_YEAST",3.05514245511104,25.4967076686976,11.7641449251192,6.17809476573343e-08,1.40875815213699e-06,8.66030459582973,TRUE,27.0242788962531,23.969136441142,6,6
"822","sp|P15121|ALDR_HUMAN",1.53256913338608,23.7854793047533,1.61824980791965,0.133971924362797,0.246337624985651,-6.22847319940275,FALSE,24.621426104782,23.0888569713959,5,6
"823","sp|P15144|AMPN_HUMAN",NA,22.4741731878795,NA,NA,NA,NA,NA,NA,22.4741731878795,0,2
"824","sp|P15170|ERF3A_HUMAN",0.144416466954846,24.0696274901447,0.265913597520734,0.795236426687834,0.862300817931115,-7.46715021090203,FALSE,24.1352713387605,23.9908548718057,6,5
"825","sp|P15274|AMPD_YEAST",NA,23.7906328405042,NA,NA,NA,NA,NA,23.7906328405042,NA,3,0
"826","sp|P15311|EZRI_HUMAN",0.519410844718851,24.057007118984,0.350355909436593,0.732705490256997,0.815490834892843,-7.43909127309251,FALSE,24.3403221251942,23.8209112804754,5,6
"827","sp|P15336|ATF2_HUMAN",0.0479927136132202,23.9588000679815,0.246318197819298,0.809608720600251,0.872176906940019,-7.52031106160103,FALSE,23.9827964247881,23.9348037111749,6,6
"828","sp|P15367|SEC11_YEAST",NA,21.1295781798525,NA,NA,NA,NA,NA,21.1295781798525,NA,3,0
"829","sp|P15408|FOSL2_HUMAN",0.118485876261159,24.7491675293968,0.597642222398069,0.561213912551709,0.681052625810123,-7.362856098894,FALSE,24.8084104675274,24.6899245912663,6,6
"830","sp|P15442|GCN2_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"831","sp|P15531|NDKA_HUMAN;sp|O60361|NDK8_HUMAN",-0.0165952638298799,23.2261781812013,-0.0538359829681963,0.957953825113092,0.973234716712806,-7.55144402345622,FALSE,23.2178805492864,23.2344758131163,6,6
"832","sp|P15559|NQO1_HUMAN",-0.161004479737753,24.118590830983,-1.17079800670567,0.264458236011074,0.400865294963032,-6.85190331328683,FALSE,24.0380885911142,24.1990930708519,6,6
