"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1113","sp|P27348|1433T_HUMAN",0.826919029645849,29.2630697878371,1.76773816029758,0.104894354694025,0.25046748535398,-6.05535069242911,FALSE,29.7141165312803,28.8871975016344,5,6
"1114","sp|P27448|MARK3_HUMAN",-0.0567107244963202,26.5065589249326,-0.61842270185148,0.547893373998898,0.713411774001577,-7.39489975020832,FALSE,26.4782035626844,26.5349142871807,6,6
"1115","sp|P27466|KCC1_YEAST",3.37349475989945,25.3989560796794,12.3275987738147,5.5525110248374e-06,6.08634294532622e-05,4.79347661333029,TRUE,25.8808839025222,22.5073891426228,6,1
"1116","sp|P27540|ARNT_HUMAN",-0.984020622300128,24.4385529012136,-6.76243806447643,2.04160111542049e-05,0.000193376269752905,2.53750824901064,TRUE,23.9465425900636,24.9305632123637,6,6
"1117","sp|P27635|RL10_HUMAN",-0.341957774521604,22.8412012283342,-1.38988989235734,0.189889408682855,0.373708830940045,-6.63068023236029,FALSE,22.6702223410734,23.012180115595,6,6
"1118","sp|P27636|CDC15_YEAST",2.79511945066729,22.9356232625199,26.5802781019741,5.25216098891829e-12,2.15572029922935e-09,18.0613501283566,TRUE,24.3331829878535,21.5380635371863,6,6
"1119","sp|P27637|BUD14_YEAST",NA,23.3185420064947,NA,NA,NA,NA,NA,23.3185420064947,NA,4,0
"1120","sp|P27692|SPT5_YEAST",NA,25.0134277663564,NA,NA,NA,NA,NA,25.0134277663564,NA,6,0
"1121","sp|P27694|RFA1_HUMAN",-0.0598781278777639,20.453514608857,-0.137208848075165,0.903656212673422,0.945103638056518,-6.69465699440938,FALSE,20.4235755449181,20.4834536727959,1,1
"1122","sp|P27695|APEX1_HUMAN",1.01215746714574,22.1409510616694,2.68380173734132,0.0213232014811334,0.0782203637252303,-4.54080951927573,FALSE,22.6930369528398,21.6808794856941,5,6
"1123","sp|P27707|DCK_HUMAN",-0.121474028131987,21.2996354945839,-0.423360745950175,0.689760276016824,0.806805123775401,-6.83605768921274,FALSE,21.2024562720783,21.3239303002103,1,4
"1124","sp|P27797|CALR_HUMAN",-0.191993883008675,28.3371310733116,-0.46598623441606,0.649597239585659,0.779601105597604,-7.48205265396681,FALSE,28.2411341318072,28.4331280148159,6,6
"1125","sp|P27801|PEP3_YEAST",2.05743473710159,23.6716794042817,14.9558397826148,1.2135112776771e-07,2.24135532986961e-06,8.38385743425497,TRUE,24.3574909833156,22.300056246214,6,3
"1126","sp|P27816|MAP4_HUMAN",0.108240027339586,31.0314999914061,0.785508881256671,0.447437203455455,0.636194391672229,-7.27321129382945,FALSE,31.0856200050758,30.9773799777363,6,6
"1127","sp|P27824|CALX_HUMAN",-1.1375750721191,28.5070868833633,-3.67143450722138,0.00321545368688395,0.0167766750273295,-2.72561229496557,TRUE,27.9382993473038,29.0758744194229,6,6
"1128","sp|P27987|IP3KB_HUMAN",-0.22796215138603,22.3443510203437,-1.69639676156173,0.115658717509105,0.268032184741929,-6.20505677743298,FALSE,22.2303699446507,22.4583320960367,6,6
"1129","sp|P28000|RPAC2_YEAST",-0.995532598643624,22.6957884968193,-1.5507860112682,0.165131053238144,0.341051028680999,-5.80557097541369,FALSE,22.553569554156,23.5491021527996,6,1
"1130","sp|P28007|GAR1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1131","sp|P28062|PSB8_HUMAN",0.105849195995181,22.1535272122044,0.52394465788,0.61658097535635,0.761356028373873,-7.07558808594762,FALSE,22.2291337807724,22.1232845847772,2,5
"1132","sp|P28066|PSA5_HUMAN",0.702961982430278,23.2447761192933,1.97697279467859,0.0715599061144991,0.193657357646124,-5.77126027463806,FALSE,23.5962571105085,22.8932951280782,6,6
"1133","sp|P28241|IDH2_YEAST",NA,24.1370392835249,NA,NA,NA,NA,NA,24.1370392835249,NA,1,0
"1134","sp|P28272|PYRD_YEAST",NA,24.8041554034119,NA,NA,NA,NA,NA,24.8041554034119,NA,2,0
"1135","sp|P28274|URA7_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1136","sp|P28290|ITPI2_HUMAN",0.187878110323326,26.5251940463624,1.23725056832045,0.239735168629787,0.431149811547437,-6.81995230441401,FALSE,26.619133101524,26.4312549912007,6,6
"1137","sp|P28370|SMCA1_HUMAN",-0.189797866784456,27.2820146869435,-1.31820155523447,0.212123914331734,0.401221948389265,-6.72161855281175,FALSE,27.1871157535513,27.3769136203358,6,6
"1138","sp|P28496|LAC1_YEAST",2.34473210232917,24.2445610826855,28.5275909837875,2.28236754861879e-12,1.68621314491956e-09,18.8396257281162,TRUE,25.41692713385,23.0721950315209,6,6
"1139","sp|P28625|YIM1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1140","sp|P28707|SBA1_YEAST",2.39685359346143,22.5984657123504,22.2271732224117,8.09933648739639e-10,4.46551477379736e-08,13.238801858104,TRUE,23.557207149735,21.1603535562736,6,4
"1141","sp|P28715|ERCC5_HUMAN",1.3944289921099,25.8029593288525,2.35861286855843,0.0362062500203637,0.116706708180823,-5.13073365694072,FALSE,26.5001738249074,25.1057448327975,6,6
"1142","sp|P28749|RBL1_HUMAN",NA,20.9012601018113,NA,NA,NA,NA,NA,NA,20.9012601018113,0,2
"1143","sp|P28838|AMPL_HUMAN",NA,21.1631238596802,NA,NA,NA,NA,NA,NA,21.1631238596802,0,1
"1144","sp|P29056|TF3B_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1145","sp|P29084|T2EB_HUMAN",-0.140191737225685,21.6888603119139,-0.333682833257399,0.748446041718018,0.843466960926021,-7.16590265528729,FALSE,21.5887233567527,21.7289150939783,2,5
