"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"5021","sp|Q9UKL0|RCOR1_HUMAN",-0.0579699536751806,22.9475585533875,-0.22193696220046,0.828611374591015,0.964853480085278,-5.97165453968869,FALSE,22.9739085323308,22.9159385786556,6,5
"5022","sp|Q9UKL6|PPCT_HUMAN",1.14646444296066,22.5348846928927,1.54675290434593,0.148934899663931,0.702313997239866,-4.93215657222652,FALSE,21.9616524714123,23.108116914373,6,6
"5023","sp|Q9UKM7|MA1B1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5024","sp|Q9UKM9|RALY_HUMAN",-0.03865731623578,29.24486180582,-0.365781045968585,0.721155451602821,0.941118115132087,-5.97356035583973,FALSE,29.2641904639379,29.2255331477021,6,6
"5025","sp|Q9UKN8|TF3C4_HUMAN",-0.0221615585658612,23.7991654852668,-0.0643968095069451,0.949861328284406,0.987463786543583,-5.99479384579811,FALSE,23.8092389209785,23.7870773624127,6,5
"5026","sp|Q9UKS6|PACN3_HUMAN",0.0842767223541669,26.7004436457389,0.742436784117616,0.472687267653871,0.885219343907569,-5.76580611039164,FALSE,26.6583052845618,26.742582006916,6,6
"5027","sp|Q9UKU7|ACAD8_HUMAN",-0.756283813341071,24.0608640644743,-1.97566516847827,0.072633550310498,0.629396573164603,-4.3315733376684,FALSE,24.4390059711449,23.6827221578038,6,6
"5028","sp|Q9UKV3|ACINU_HUMAN",0.0743385442448254,28.3150598605093,0.640132389984676,0.534608657375075,0.895699462475496,-5.83534216124119,FALSE,28.2778905883869,28.3522291326317,6,6
"5029","sp|Q9UKV8|AGO2_HUMAN",-0.404464071100291,23.3844274529837,-0.857944421302429,0.410039770539813,0.864461240381348,-5.63175386671977,FALSE,23.6050442190384,23.2005801479381,5,6
"5030","sp|Q9UKX7|NUP50_HUMAN",-0.0394646517080054,23.6674774912813,-0.167290534532117,0.870312994133697,0.971900228455474,-5.98255214292663,FALSE,23.6854159693304,23.6459513176224,6,5
"5031","sp|Q9UKY3|CES1P_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5032","sp|Q9UKY7|CDV3_HUMAN",-0.132643720091742,25.0974255054726,-0.47888293236317,0.640981068278544,0.918427072428319,-5.92532605525507,FALSE,25.1637473655184,25.0311036454267,6,6
"5033","sp|Q9UKZ1|CNO11_HUMAN",0.205551847259046,23.6301919224069,0.796798255882907,0.441677609384992,0.875236040222901,-5.72507432718489,FALSE,23.5274159987773,23.7329678460364,6,6
"5034","sp|Q9UL03|INT6_HUMAN",0.20354340262165,22.6810057860569,0.631829426411382,0.580048525527126,0.907778487945457,-5.17686452687897,FALSE,22.613157985183,22.8167013878047,2,1
"5035","sp|Q9UL12|SARDH_HUMAN",0.0826580615432091,23.8183852097733,0.410004205735765,0.690026208220162,0.932401106510184,-5.91118821712825,FALSE,23.7732989943861,23.8559570559293,5,6
"5036","sp|Q9UL15|BAG5_HUMAN",1.75463511195346,27.7886001679485,1.46277971311602,0.172746092046602,0.729635862087173,-5.00102759069855,FALSE,26.8315264705193,28.5861615824728,5,6
"5037","sp|Q9UL18|AGO1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5038","sp|Q9UL25|RAB21_HUMAN",-0.00330383049660064,24.9905417759178,-0.0249977345023861,0.980484467975258,0.993921107573674,-6.04149896484793,FALSE,24.9921936911661,24.9888898606695,6,6
"5039","sp|Q9UL33|TPC2L_HUMAN",0.0948043541688428,23.5258328855566,0.282933158131194,0.785995293159549,0.955485730700978,-5.65959852485093,FALSE,23.4581154897217,23.5529198438906,2,5
"5040","sp|Q9UL40|ZN346_HUMAN",-0.0965088759591651,23.7127399747773,-0.659887050956504,0.522298333353734,0.894077941643955,-5.82265211928009,FALSE,23.7609944127569,23.6644855367977,6,6
"5041","sp|Q9UL42|PNMA2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5042","sp|Q9UL45|BL1S6_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5043","sp|Q9UL46|PSME2_HUMAN",0.111490869811683,29.4607344433912,0.812248341121958,0.433110259038972,0.874163851577054,-5.71303003751188,FALSE,29.4049890084854,29.516479878297,6,6
"5044","sp|Q9UL63|MKLN1_HUMAN",NA,24.3136163390367,NA,NA,NA,NA,NA,24.3136163390367,NA,3,0
"5045","sp|Q9ULA0|DNPEP_HUMAN",-0.0530567681202423,27.0479370368744,-0.385481066136418,0.706902878472437,0.935594248657747,-5.9660606798551,FALSE,27.0744654209345,27.0214086528143,6,6
"5046","sp|Q9ULC4|MCTS1_HUMAN",-0.403241120380785,27.2257475995259,-1.76782899969387,0.10353017000719,0.647375369583433,-4.63258790521965,FALSE,27.4273681597163,27.0241270393356,6,6
"5047","sp|Q9ULC5|ACSL5_HUMAN",-0.042304686034983,25.9869878099072,-0.256941332502584,0.80175460582134,0.961720964747377,-6.00803451682179,FALSE,26.0081401529247,25.9658354668897,6,6
"5048","sp|Q9ULD0|OGDHL_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5049","sp|Q9ULH0|KDIS_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5050","sp|Q9ULH7|MRTFB_HUMAN",-0.676976452171924,26.8829345082255,-0.658660952738362,0.53266501288028,0.894122675284906,-5.56336644359233,FALSE,27.2697781951809,26.5928017430089,3,4
"5051","sp|Q9ULI0|ATD2B_HUMAN",0.299111954252897,25.4957689390039,0.70905505488863,0.502838259678676,0.892254551047638,-5.45278408136652,FALSE,25.2821175431089,25.5812294973618,2,5
"5052","sp|Q9ULJ8|NEB1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5053","sp|Q9ULP9|TBC24_HUMAN",-0.0681616274401335,24.1098531475798,-0.397176940420941,0.698495552230462,0.933485082909705,-5.96142708231537,FALSE,24.1439339612999,24.0757723338597,6,6
"5054","sp|Q9ULR0|ISY1_HUMAN",0.378874800510061,24.607155356859,1.79643527624147,0.0986656537549952,0.647375369583433,-4.59217804609058,FALSE,24.4177179566039,24.796592757114,6,6
"5055","sp|Q9ULR3|PPM1H_HUMAN",1.47331616572276,23.5967968111089,5.62187609701828,0.00713606878625219,0.37846957586846,-2.47497692275643,FALSE,22.4918096868168,23.9651258525396,1,3
"5056","sp|Q9ULT0|TTC7A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5057","sp|Q9ULT8|HECD1_HUMAN",-0.103280969159778,22.9687953717261,-0.49018476135761,0.633203783908626,0.915690885928309,-5.91982279233515,FALSE,23.020435856306,22.9171548871462,6,6
"5058","sp|Q9ULU4|PKCB1_HUMAN",-0.236135800607423,24.2446746776032,-0.396430858994806,0.699030620037976,0.933485082909705,-5.9617266793981,FALSE,24.362742577907,24.1266067772995,6,6
"5059","sp|Q9ULV0|MYO5B_HUMAN",-0.444836629655035,22.3341499099643,-1.34238073711771,0.21059769415142,0.758671792246975,-5.10938518488171,FALSE,22.5565682247918,22.1117315951368,5,5
"5060","sp|Q9ULV4|COR1C_HUMAN",0.0812558281874197,27.111162192437,0.969996381325138,0.351969873621234,0.826941512249608,-5.5786024434837,FALSE,27.0705342783433,27.1517901065307,6,6
"5061","sp|Q9ULW0|TPX2_HUMAN",2.42632025906884,23.3929619639035,2.40114073956037,0.0668839772249593,0.612689808741489,-3.75348425861846,FALSE,21.4519057566485,23.8782260157173,1,4
"5062","sp|Q9ULW3|ABT1_HUMAN",-0.208680719419098,24.6240065437148,-0.410704142581998,0.68882396733467,0.932401106510184,-5.95590026984319,FALSE,24.7283469034243,24.5196661840053,6,6
"5063","sp|Q9ULX3|NOB1_HUMAN",0.33935906948805,25.3868259034413,2.67982891638468,0.0206649159911585,0.489250995240766,-3.22115381350561,FALSE,25.2171463686973,25.5565054381853,6,6
"5064","sp|Q9ULX6|AKP8L_HUMAN",0.807634013664902,25.4735472764541,2.52677694584292,0.0272836189042643,0.498937180575615,-3.47053527570538,FALSE,25.0697302696217,25.8773642832866,6,6
"5065","sp|Q9ULZ3|ASC_HUMAN",0.0475891190295445,23.0069630185054,0.0828794860865025,0.935502926454234,0.981664811025397,-5.99339454880428,FALSE,22.9853316007647,23.0329207197942,6,5
"5066","sp|Q9UM00|TMCO1_HUMAN",-0.51698824324582,25.1104450622972,-2.65655938408534,0.0215584727116388,0.489250995240766,-3.25924683399346,FALSE,25.3689391839201,24.8519509406743,6,6
"5067","sp|Q9UM13|APC10_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5068","sp|Q9UM22|EPDR1_HUMAN",0.124879742766288,25.5793614364641,0.430421927149389,0.674829466526024,0.929635254369466,-5.94752306958401,FALSE,25.5169215650809,25.6418013078472,6,6
"5069","sp|Q9UM54|MYO6_HUMAN",-0.550212759865369,23.9017419545028,-1.30115141005984,0.218623871481046,0.76074594501967,-5.23422337102913,FALSE,24.1768483344355,23.6266355745701,6,6
"5070","sp|Q9UMR2|DD19B_HUMAN",0.299790322179487,24.4689605770994,1.42416523434758,0.180913280574955,0.736026119307719,-5.08736963257114,FALSE,24.3190654160097,24.6188557381891,6,6
"5071","sp|Q9UMR5|PPT2_HUMAN",-0.301767129885625,24.1739395007568,-1.41914508801434,0.191379082958337,0.748035588147377,-4.97317227421459,FALSE,24.3080582251504,24.0062910952648,5,4
"5072","sp|Q9UMS0|NFU1_HUMAN",-0.0791758688855188,24.642565788306,-0.350968191153263,0.73194548058653,0.944294018571471,-5.97894665280978,FALSE,24.6821537227488,24.6029778538633,6,6
"5073","sp|Q9UMS4|PRP19_HUMAN",-0.059565194155487,28.5242401159653,-0.520510364777868,0.612563417843451,0.908417620264245,-5.90445058614787,FALSE,28.5540227130431,28.4944575188876,6,6
"5074","sp|Q9UMX0|UBQL1_HUMAN",-0.300553543070322,24.1963526648771,-0.781325188540238,0.450367272928158,0.881445094737978,-5.73693011822544,FALSE,24.3466294364123,24.046075893342,6,6
"5075","sp|Q9UMX3|BOK_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5076","sp|Q9UMY1|NOL7_HUMAN",-0.125755761192648,25.9393706067864,-0.644376879543045,0.531949701458382,0.894122675284906,-5.83264569397596,FALSE,26.0022484873827,25.87649272619,6,6
"5077","sp|Q9UMY4|SNX12_HUMAN",0.0799481147308478,24.5354637424428,0.126635358459186,0.902166130955545,0.977026964001469,-5.89307391160491,FALSE,24.4910481231479,24.5709962378787,4,5
"5078","sp|Q9UMZ2|SYNRG_HUMAN",0.361703726311723,23.3677319503519,2.29856152913002,0.0431454385765162,0.548605861517673,-3.82553055795588,FALSE,23.2033211656647,23.5650248919765,6,5
"5079","sp|Q9UN36|NDRG2_HUMAN",1.96792270404557,22.0065380129872,1.30234533643233,0.236895817124828,0.770173845630349,-4.93676716172432,FALSE,21.4442743832599,23.4121970873055,5,2
"5080","sp|Q9UN37|VPS4A_HUMAN",-0.0318352174212699,24.9985949093076,-0.138757600723629,0.892037242383337,0.975347228259178,-6.03194556606936,FALSE,25.0145125180183,24.982677300597,6,6
"5081","sp|Q9UN76|S6A14_HUMAN",0.142517221840893,24.3976863175063,0.630971118003105,0.540373572557624,0.896439019737233,-5.84110581861428,FALSE,24.3264277065858,24.4689449284267,6,6
"5082","sp|Q9UN86|G3BP2_HUMAN",-0.0626868037143319,26.6408211593744,-0.180373169263143,0.859993013902111,0.970353566627673,-6.02514470182489,FALSE,26.6721645612315,26.6094777575172,6,6
"5083","sp|Q9UNE7|CHIP_HUMAN",0.0403040469828892,24.3454897889367,0.161522874774309,0.874479150497297,0.971900228455474,-6.0284439585759,FALSE,24.3253377654453,24.3656418124281,6,6
"5084","sp|Q9UNF0|PACN2_HUMAN",0.157345353492436,27.4298794902472,1.62995497057284,0.130121804458206,0.685902688728049,-4.82220187573579,FALSE,27.3512068135009,27.5085521669934,6,6
"5085","sp|Q9UNF1|MAGD2_HUMAN",0.103892208169232,24.2602638395101,0.631104852581879,0.540289164194028,0.896439019737233,-5.84102223683829,FALSE,24.2083177354255,24.3122099435948,6,6
"5086","sp|Q9UNH6|SNX7_HUMAN",NA,22.6023088366651,NA,NA,NA,NA,NA,NA,22.6023088366651,0,4
"5087","sp|Q9UNH7|SNX6_HUMAN",0.0231895610672104,26.5175522065146,0.156881623401096,0.878053432552327,0.971900228455474,-6.02920074859629,FALSE,26.505957425981,26.5291469870483,6,6
"5088","sp|Q9UNI6|DUS12_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5089","sp|Q9UNK0|STX8_HUMAN",-0.123218338583063,23.3337952484029,-0.52954201706728,0.60648194257126,0.907919849481917,-5.8997026663703,FALSE,23.3954044176945,23.2721860791114,6,6
"5090","sp|Q9UNL2|SSRG_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5091","sp|Q9UNM6|PSD13_HUMAN",-0.122687278852364,27.7317893324155,-0.695214207832958,0.500701443693506,0.89126071780785,-5.79907380161674,FALSE,27.7931329718417,27.6704456929893,6,6
"5092","sp|Q9UNN5|FAF1_HUMAN",0.424738254959209,23.4419002216061,1.91465753747615,0.080685910366627,0.630979774737455,-4.4216413291998,FALSE,23.2295310941265,23.6542693490857,6,6
"5093","sp|Q9UNP9|PPIE_HUMAN",1.25939133277389,24.1755675547647,3.30264207543751,0.00664016731474918,0.365375206494074,-2.19121034441125,FALSE,23.5458718883778,24.8052632211517,6,6
"5094","sp|Q9UNQ2|DIM1_HUMAN",-0.693647397368809,21.8754585967967,-0.991021584059628,0.348975637700271,0.826941512249608,-5.37759358025238,FALSE,22.1066743959197,21.4130269985508,6,3
"5095","sp|Q9UNS1|TIM_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5096","sp|Q9UNS2|CSN3_HUMAN",-0.0965764080045002,26.0793923973564,-0.599637377166556,0.560354736475965,0.903296918200164,-5.86023345687394,FALSE,26.1276806013586,26.0311041933541,6,6
"5097","sp|Q9UNW1|MINP1_HUMAN",-0.00616428191361677,25.2714766952106,-0.0531332449778319,0.958535806861522,0.989557838134244,-6.04037078591835,FALSE,25.2745588361674,25.2683945542538,6,6
"5098","sp|Q9UNX3|RL26L_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5099","sp|Q9UNX4|WDR3_HUMAN",-0.624435546865328,23.0891907587737,-1.27205269811616,0.228427757931453,0.767181551618384,-5.26756368956594,FALSE,23.4014085322063,22.776972985341,6,6
"5100","sp|Q9UNZ2|NSF1C_HUMAN",0.0273978147937355,27.8916100363028,0.0850099144491244,0.933712689515298,0.980955431801036,-6.038111501154,FALSE,27.877911128906,27.9053089436997,6,6
"5101","sp|Q9UP83|COG5_HUMAN",-0.265703580695806,24.5074240298122,-1.34149007120287,0.20560301139583,0.755713380732134,-5.18710235384707,FALSE,24.6402758201601,24.3745722394643,6,6
"5102","sp|Q9UP95|S12A4_HUMAN",0.593881482427217,23.0567502858592,1.30242708100804,0.255145090379588,0.782456582796057,-4.87341494949495,FALSE,22.7004213964029,23.2943028788301,2,3
"5103","sp|Q9UPN3|MACF1_HUMAN",0.364109632119886,25.1821423855217,1.81755903693528,0.0952072355406831,0.645766180046359,-4.56211696917671,FALSE,25.0000875694618,25.3641972015817,6,6
"5104","sp|Q9UPN4|CP131_HUMAN",-0.179211144706448,23.185234613033,-0.509817880219186,0.619802530016532,0.911176280102769,-5.90997108469326,FALSE,23.2748401853862,23.0956290406798,6,6
"5105","sp|Q9UPN6|SCAF8_HUMAN",-0.868228123516815,23.0788607410142,-1.50398785922788,0.159491261327876,0.718171673920596,-4.98725505491466,FALSE,23.5129748027726,22.6447466792558,6,6
"5106","sp|Q9UPN7|PP6R1_HUMAN",0.000425683881980158,23.8214852974482,0.00219019083342884,0.998289943431325,0.999150033941839,-6.04181724572766,FALSE,23.8212724555072,23.8216981393892,6,6
"5107","sp|Q9UPN9|TRI33_HUMAN",-0.163963765402646,23.5767121829973,-1.21408233420197,0.249014163223666,0.778365286806316,-5.33230873769471,FALSE,23.6586940656987,23.494730300296,6,6
"5108","sp|Q9UPQ3|AGAP1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5109","sp|Q9UPQ9|TNR6B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5110","sp|Q9UPT5|EXOC7_HUMAN",0.147535066768671,23.3112376128202,0.48182837100761,0.638949818071353,0.917370221510142,-5.92390366496975,FALSE,23.2374700794359,23.3850051462045,6,6
"5111","sp|Q9UPT8|ZC3H4_HUMAN",0.568471744441236,26.6185637656645,1.60548918920313,0.13542519641403,0.685902688728049,-4.85490122975397,FALSE,26.3343278934438,26.9027996378851,6,6
"5112","sp|Q9UPT9|UBP22_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5113","sp|Q9UPU5|UBP24_HUMAN",-0.438665537403072,23.6896995906693,-1.296436904052,0.220188648307246,0.761406464924194,-5.23966252532798,FALSE,23.9090323593708,23.4703668219678,6,6
"5114","sp|Q9UPY3|DICER_HUMAN",0.449562783254673,22.5349036631757,0.670713277915658,0.515622505601864,0.893012325719193,-5.81554655819323,FALSE,22.3101222715483,22.759685054803,6,6
"5115","sp|Q9UQ13|SHOC2_HUMAN",0.124173663717004,29.0455635680577,0.356898841772325,0.727618074905644,0.942956687435176,-5.97681623571647,FALSE,28.9834767361992,29.1076503999162,6,6
