ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|Q9Y4K1|CRBG1_HUMAN,12104424.942105263,76.9682984674944,11.661837554112594,stomach
sp|Q6ZST2|COLDT_HUMAN,12090508.18,76.96663881042593,11.648429645870191,stomach
sp|Q9Y3D3|RT16_HUMAN,12087615.6,76.9662936131824,11.645642830450736,stomach
sp|Q58FF6|H90B4_HUMAN,12079164.133333333,76.96528455118242,11.637500384045222,stomach
sp|Q96IV0|NGLY1_HUMAN,12077119.430952381,76.96504031808388,11.635530444363889,stomach
sp|Q5T2E6|ARMD3_HUMAN,12076204.30263158,76.96493099556534,11.63464877688531,stomach
sp|Q9P265|DIP2B_HUMAN,12066227.538522728,76.96373861950165,11.625036804163797,stomach
sp|Q96CN9|GCC1_HUMAN,12063033.955555556,76.96335672912863,11.621959991679365,stomach
sp|Q16772|GSTA3_HUMAN,12050260.785714285,76.96182829506702,11.609653861280568,stomach
sp|P29372|3MG_HUMAN,12048372.137647059,76.96160216247148,11.607834269927634,stomach
sp|Q5VTL8|PR38B_HUMAN,12035636.8375,76.96007640684684,11.595564624551814,stomach
sp|O15530|PDPK1_HUMAN,12029539.2,76.95934530630912,11.58968994167105,stomach
sp|Q9Y217|MTMR6_HUMAN,12022164.36904762,76.95846057626534,11.582584764765329,stomach
sp|Q15528|MED22_HUMAN,12015802.818181818,76.95769696942378,11.576455818273114,stomach
sp|O60282|KIF5C_HUMAN,12013129.221538462,76.9573759243912,11.573879979281244,stomach
sp|Q9Y496|KIF3A_HUMAN,12001650.732,76.95599677694725,11.562821190366911,stomach
sp|Q7Z5N4|SDK1_HUMAN,11998957.331714286,76.95567297221352,11.560226271835015,stomach
sp|Q6UWE0|LRSM1_HUMAN,11990094.586538462,76.95460696600875,11.551687584948336,stomach
sp|Q3KRA6|CB076_HUMAN,11989621.49,76.95455004006119,11.55123178675839,stomach
sp|Q96A99|PTX4_HUMAN,11986934.615384616,76.95422669581757,11.54864315529157,stomach
sp|P53708|ITA8_HUMAN,11984387.692982456,76.95392012680267,11.546189358811441,stomach
